epoch,train_loss,train_auc,val_loss,val_auc
1,2.0495,0.5858,2.7562,0.6845
2,1.8828,0.7161,2.7158,0.7374
3,1.815,0.7535,2.4413,0.7508
4,1.7858,0.7634,2.6191,0.7578
5,1.7681,0.7702,2.4829,0.7636
6,1.3622,0.872,1.593,0.8858
7,1.0342,0.9195,1.1894,0.8964
8,0.8908,0.9344,1.303,0.9004
9,0.7426,0.9513,1.0944,0.9042
10,0.6767,0.9561,0.9477,0.8994
11,0.6226,0.9609,1.0524,0.8996
12,0.592,0.9649,0.9424,0.9029
13,0.5631,0.9654,0.998,0.898
14,0.5502,0.9666,0.9958,0.8993
15,0.533,0.9696,1.0018,0.8991
16,0.5502,0.9676,1.0673,0.8959
