epoch,train_loss,train_auc,val_loss,val_auc
1,3.1561,0.5059,2.497,0.506
2,2.2957,0.5433,2.4731,0.5812
3,2.1193,0.5994,2.5078,0.6449
4,2.0311,0.6402,2.4823,0.6766
5,2.0004,0.6552,2.4026,0.6946
6,1.9031,0.6984,2.5643,0.7487
7,1.8416,0.7328,2.4246,0.7683
8,1.8074,0.7497,2.3521,0.7854
9,1.7779,0.7625,2.3097,0.7914
10,1.7562,0.7708,2.2576,0.7964
11,1.747,0.7719,2.2584,0.8018
12,1.7264,0.7798,2.2992,0.8029
13,1.7286,0.7827,2.16,0.8098
14,1.7262,0.7827,2.1926,0.8059
15,1.7147,0.7853,2.1771,0.8051
16,1.7236,0.7819,2.1677,0.8129
17,1.6951,0.7902,2.1501,0.818
18,1.6704,0.8006,2.2115,0.8226
19,1.6587,0.8025,2.1459,0.8243
20,1.6402,0.8109,2.0525,0.8279
21,1.6484,0.81,2.1462,0.8295
22,1.6312,0.8128,2.0977,0.828
23,1.6326,0.8131,2.0113,0.8304
24,1.6336,0.8125,2.0566,0.8308
25,1.6196,0.8149,2.0267,0.8295
26,1.6105,0.818,2.0488,0.8331
27,1.6096,0.8201,1.9671,0.8357
28,1.5912,0.822,2.0046,0.8379
29,1.5754,0.8259,2.004,0.8384
30,1.5734,0.8297,1.9414,0.8388
31,1.5559,0.8311,2.0057,0.8384
32,1.5576,0.8297,1.9277,0.8423
33,1.5469,0.8354,1.897,0.843
34,1.5533,0.8327,1.9341,0.8431
35,1.5652,0.8308,1.8775,0.8436
36,1.5587,0.8327,1.9023,0.8412
37,1.5423,0.8351,2.0237,0.8405
38,1.5226,0.8382,1.8885,0.8462
39,1.542,0.8365,1.8741,0.8441
40,1.5062,0.8428,1.9028,0.8491
41,1.4988,0.8452,1.8871,0.8477
42,1.4981,0.8464,1.9427,0.8502
43,1.4902,0.847,1.8756,0.8496
44,1.4828,0.8471,1.8455,0.8497
45,1.495,0.8466,1.8177,0.8516
46,1.489,0.8485,1.865,0.8494
47,1.4874,0.8443,1.8242,0.852
48,1.4756,0.852,1.9341,0.8514
49,1.4658,0.8504,1.8845,0.8519
50,1.4766,0.8504,1.8018,0.8527
