epoch,val_auc
1,0.7527
2,0.7642
3,0.7707
4,0.7743
5,0.7766
6,0.7873
7,0.7982
8,0.8042
9,0.8108
10,0.8167
11,0.8178
12,0.8178
13,0.8203
14,0.8209
15,0.8194
16,0.8254
17,0.8252
18,0.8297
19,0.8303
20,0.8321
21,0.8349
22,0.8356
23,0.8357
24,0.8383
25,0.8358
26,0.8409
27,0.8413
28,0.8432
29,0.8432
30,0.8437
31,0.8449
32,0.8458
33,0.8451
34,0.8479
35,0.8457
36,0.8473
37,0.8485
38,0.8496
39,0.8496
40,0.8513
41,0.851
42,0.8525
43,0.8521
44,0.852
45,0.8537
46,0.8544
47,0.8552
48,0.8551
49,0.8527
50,0.855
