component,method,score,rank
localization,gradcam,0.5324,1
localization,gradcampp,0.5313,2
localization,integrated_gradients,0.4038,5
localization,layercam,0.4593,4
localization,scorecam,0.4779,3
stability,gradcam,0.7476,2
stability,gradcampp,0.7998,1
stability,integrated_gradients,0.6275,5
stability,layercam,0.7403,3
stability,scorecam,0.6749,4
cross_xai,gradcam,0.5375,3
cross_xai,gradcampp,0.5375,3
cross_xai,integrated_gradients,0.5375,3
cross_xai,layercam,0.5375,3
cross_xai,scorecam,0.5375,3
cross_arch,gradcam,0.5359,2
cross_arch,gradcampp,0.6149,1
cross_arch,integrated_gradients,0.4942,4
cross_arch,layercam,0.5345,3
cross_arch,scorecam,0.4474,5
sanity,gradcam,0.7827,3
sanity,gradcampp,0.8274,2
sanity,integrated_gradients,0.7246,4
sanity,layercam,0.8293,1
sanity,scorecam,0.7195,5
