model,method,localization,stability,cross_xai,cross_arch,sanity,cti
densenet121,gradcam,0.678,0.9032,0.4992,0.5359,0.7991,0.6831
densenet121,gradcampp,0.6758,0.9189,0.4992,0.6149,0.8668,0.7151
densenet121,integrated_gradients,0.5257,0.6687,0.4992,0.4942,0.7881,0.5952
densenet121,layercam,0.4833,0.8176,0.4992,0.5345,0.8367,0.6343
densenet121,scorecam,0.4635,0.7654,0.4992,0.4474,0.7209,0.5793
efficientnet_b4,gradcam,0.2363,0.6145,0.5338,0.5359,0.77,0.5381
efficientnet_b4,gradcampp,0.2252,0.6488,0.5338,0.6149,0.7838,0.5613
efficientnet_b4,integrated_gradients,0.2585,0.5858,0.5338,0.4942,0.6182,0.4981
efficientnet_b4,layercam,0.2626,0.5913,0.5338,0.5345,0.8179,0.548
efficientnet_b4,scorecam,0.3559,0.5968,0.5338,0.4474,0.6154,0.5099
resnet50,gradcam,0.6829,0.725,0.5796,0.5359,0.7792,0.6605
resnet50,gradcampp,0.693,0.8316,0.5796,0.6149,0.8316,0.7101
resnet50,integrated_gradients,0.4272,0.628,0.5796,0.4942,0.7676,0.5793
resnet50,layercam,0.632,0.8122,0.5796,0.5345,0.8334,0.6784
resnet50,scorecam,0.6142,0.6626,0.5796,0.4474,0.8224,0.6252
