Model,threshold,F1,Precision,Recall,Specificity
DenseNet121,0.05,0.1271,0.0679,0.9866,0.429
DenseNet121,0.06,0.1304,0.0698,0.9847,0.447
DenseNet121,0.07,0.1336,0.0717,0.9828,0.4633
DenseNet121,0.08,0.1358,0.073,0.9789,0.4756
DenseNet121,0.09,0.1384,0.0745,0.977,0.4879
DenseNet121,0.1,0.1408,0.0759,0.9751,0.4995
DenseNet121,0.11,0.1427,0.077,0.9751,0.5071
DenseNet121,0.12,0.1449,0.0783,0.9732,0.5167
DenseNet121,0.13,0.1463,0.0791,0.9713,0.5233
DenseNet121,0.14,0.1481,0.0801,0.9713,0.5299
DenseNet121,0.15,0.1502,0.0814,0.9713,0.5377
DenseNet121,0.16,0.1511,0.0819,0.9674,0.5429
DenseNet121,0.17,0.1526,0.0828,0.9674,0.5484
DenseNet121,0.18,0.1541,0.0837,0.9655,0.5545
DenseNet121,0.19,0.1554,0.0845,0.9655,0.5591
DenseNet121,0.2,0.1571,0.0855,0.9655,0.5647
DenseNet121,0.21,0.1585,0.0863,0.9636,0.5701
DenseNet121,0.22,0.1596,0.087,0.9636,0.5738
DenseNet121,0.23,0.1609,0.0878,0.9636,0.5777
DenseNet121,0.24,0.1624,0.0887,0.9636,0.5824
DenseNet121,0.25,0.1639,0.0895,0.9636,0.5869
DenseNet121,0.26,0.1649,0.0902,0.9617,0.5909
DenseNet121,0.27,0.1663,0.091,0.9617,0.5952
DenseNet121,0.28,0.1677,0.0919,0.9617,0.5991
DenseNet121,0.29,0.169,0.0926,0.9598,0.6037
DenseNet121,0.3,0.1704,0.0935,0.9598,0.6075
DenseNet121,0.31,0.1714,0.0941,0.9598,0.6104
DenseNet121,0.32,0.1725,0.0948,0.9579,0.6143
DenseNet121,0.33,0.1734,0.0954,0.954,0.6184
DenseNet121,0.34,0.1747,0.0962,0.954,0.6219
DenseNet121,0.35,0.1752,0.0965,0.9502,0.625
DenseNet121,0.36,0.176,0.097,0.9502,0.6271
DenseNet121,0.37,0.1772,0.0977,0.9502,0.6302
DenseNet121,0.38,0.1785,0.0985,0.9502,0.6333
DenseNet121,0.39,0.1797,0.0992,0.9502,0.6363
DenseNet121,0.4,0.18,0.0995,0.9464,0.6387
DenseNet121,0.41,0.1809,0.1,0.9425,0.6425
DenseNet121,0.42,0.1815,0.1005,0.9406,0.6449
DenseNet121,0.43,0.1827,0.1012,0.9406,0.6477
DenseNet121,0.44,0.1838,0.1019,0.9406,0.6504
DenseNet121,0.45,0.1852,0.1027,0.9406,0.6536
DenseNet121,0.46,0.187,0.1038,0.9406,0.6578
DenseNet121,0.47,0.1881,0.1045,0.9406,0.6602
DenseNet121,0.48,0.1895,0.1053,0.9406,0.6632
DenseNet121,0.49,0.1901,0.1058,0.9368,0.6661
DenseNet121,0.5,0.1904,0.106,0.933,0.6683
DenseNet121,0.51,0.1917,0.1068,0.933,0.671
DenseNet121,0.52,0.1917,0.1069,0.9291,0.6727
DenseNet121,0.53,0.1928,0.1076,0.9272,0.6758
DenseNet121,0.54,0.1936,0.1081,0.9253,0.6781
DenseNet121,0.55,0.1942,0.1086,0.9215,0.681
DenseNet121,0.56,0.1954,0.1093,0.9195,0.6841
DenseNet121,0.57,0.197,0.1103,0.9195,0.6873
DenseNet121,0.58,0.198,0.111,0.9195,0.6894
DenseNet121,0.59,0.1993,0.1118,0.9176,0.6926
DenseNet121,0.6,0.2003,0.1124,0.9157,0.6953
DenseNet121,0.61,0.2013,0.1131,0.9138,0.6978
DenseNet121,0.62,0.2024,0.1138,0.9119,0.7008
DenseNet121,0.63,0.2041,0.1149,0.9119,0.7039
DenseNet121,0.64,0.2052,0.1156,0.91,0.7066
DenseNet121,0.65,0.2054,0.1158,0.9042,0.709
DenseNet121,0.66,0.2064,0.1166,0.9023,0.7117
DenseNet121,0.67,0.2069,0.1169,0.8985,0.7139
DenseNet121,0.68,0.2086,0.118,0.8985,0.7169
DenseNet121,0.69,0.2101,0.119,0.8966,0.7201
DenseNet121,0.7,0.2118,0.1201,0.8966,0.723
DenseNet121,0.71,0.2126,0.1207,0.8927,0.7257
DenseNet121,0.72,0.2147,0.122,0.8927,0.7292
DenseNet121,0.73,0.2165,0.1232,0.8908,0.7327
DenseNet121,0.74,0.2168,0.1235,0.8851,0.7352
DenseNet121,0.75,0.2187,0.1248,0.8851,0.7382
DenseNet121,0.76,0.2207,0.1261,0.8851,0.7414
DenseNet121,0.77,0.2231,0.1277,0.8831,0.7456
DenseNet121,0.78,0.225,0.129,0.8812,0.7491
DenseNet121,0.79,0.2265,0.1301,0.8755,0.7531
DenseNet121,0.8,0.2298,0.1323,0.8755,0.7579
DenseNet121,0.81,0.2327,0.1342,0.8736,0.7624
DenseNet121,0.82,0.2347,0.1357,0.8697,0.7664
DenseNet121,0.83,0.2374,0.1376,0.8659,0.7711
DenseNet121,0.84,0.2383,0.1384,0.8563,0.7753
DenseNet121,0.85,0.2417,0.1408,0.8525,0.7807
DenseNet121,0.86,0.2427,0.1419,0.8391,0.786
DenseNet121,0.87,0.2464,0.1445,0.8352,0.7915
DenseNet121,0.88,0.2486,0.1464,0.8238,0.7974
DenseNet121,0.89,0.2531,0.1497,0.818,0.8041
DenseNet121,0.9,0.2574,0.153,0.8123,0.8104
DenseNet121,0.91,0.2635,0.1575,0.8046,0.8186
DenseNet121,0.92,0.2703,0.1628,0.7969,0.8272
DenseNet121,0.93,0.2767,0.168,0.7835,0.8364
DenseNet121,0.94,0.2847,0.1746,0.7701,0.8465
DenseNet121,0.95,0.2895,0.18,0.7395,0.8579
ResNet50,0.05,0.1593,0.0868,0.9636,0.5727
ResNet50,0.06,0.1639,0.0896,0.9598,0.5887
ResNet50,0.07,0.1679,0.092,0.9598,0.6006
